-------------------------------------------------------------------------
data          czas      rozmiar  plik              opis
2017-03-27    23:59       37 kB  SKA057.txt        SKARBIEC JPMorgan Highbridge US STEEP
2017-03-27    23:59       15 kB  SKA063.txt        SKARBIEC Obligacji Globalnych
2017-03-27    23:59       10 kB  SKA070.txt        SKARBIEC JPMorgan Europe Strategic Dividend Fund Polska
2017-03-27    23:59       10 kB  SKA071.txt        SKARBIEC JPMorgan Global Healthcare Fund Polska
2017-03-27    23:59       10 kB  SKA072.txt        SKARBIEC JPMorgan Global Income Fund Polska
2017-03-27    23:59       10 kB  SKA073.txt        SKARBIEC JPMorgan Global Macro Opportunities Fund Polska
2017-03-27    23:59       76 kB  SUP001.txt        SUPERFUND SFIO RED  
2017-03-27    23:59       77 kB  SUP002.txt        SUPERFUND SFIO Green
2017-03-27    23:59       76 kB  SUP003.txt        SUPERFUND SFIO Blue 
2017-03-27    23:59       63 kB  SUP004.txt        SUPERFUND Trend Plus Powiazany SFIO
2017-03-27    23:59       66 kB  SUP006.txt        SUPERFUND Akcji     
2017-03-27    23:59       72 kB  SUP007.txt        SUPERFUND SFIO Plynnosciowy
2017-03-27    23:59       66 kB  SUP008.txt        SUPERFUND GoldFuture
2017-03-27    23:59       36 kB  SUP009.txt        SUPERFUND Akcyjny   
2017-03-27    23:59       38 kB  SUP010.txt        SUPERFUND Obligacyjny
2017-03-27    23:59       38 kB  SUP011.txt        SUPERFUND Pieniezny 
2017-03-27    23:59       37 kB  SUP012.txt        SUPERFUND Alternatywny
2017-03-24    23:59      151 kB  ALL001.txt        ALLIANZ Akcji       
2017-03-24    23:59      166 kB  ALL002.txt        ALLIANZ Obligacji Plus
2017-03-24    23:59      151 kB  ALL003.txt        ALLIANZ Stabilnego Wzrostu
2017-03-24    23:59      125 kB  ALL004.txt        ALLIANZ Aktywnej Alokacji
2017-03-24    23:59      129 kB  ALL005.txt        ALLIANZ Pieniezny   
2017-03-24    23:59      127 kB  ALL006.txt        ALLIANZ Polskich Obligacji Skarbowych
2017-03-24    23:59      107 kB  ALL012.txt        ALLIANZ MiS Spolek  
2017-03-24    23:59      101 kB  ALL014.txt        ALLIANZ Selektywny  
2017-03-24    23:59       22 kB  ALL030.txt        ALLIANZ Akcji Azjatyckich
2017-03-24    23:59       37 kB  ALL032.txt        ALLIANZ Akcji Globalnych
2017-03-24    23:59       36 kB  ALL033.txt        ALLIANZ Surowcow i Energii
2017-03-24    23:59       37 kB  ALL034.txt        ALLIANZ Obligacji Globalnych
2017-03-24    23:59       17 kB  ALL035.txt        ALLIANZ Globalny Stabilnego Dochodu
2017-03-24    23:59       14 kB  ALL036.txt        ALLIANZ Defensywna Multistrategia
2017-03-24    23:59       14 kB  ALL037.txt        ALLIANZ Dynamiczna Multistrategia
2017-03-24    23:59       14 kB  ALL038.txt        ALLIANZ Dywidendowy Akcji Europejskich
2017-03-24    23:59        8 kB  ALL039.txt        ALLIANZ Malych Spolek Europejskich
2017-03-24    23:59       14 kB  ALL040.txt        ALLIANZ Zbalansowana Multistrategia
2017-03-24    23:59        9 kB  ALL042.txt        ALLIANZ Pieniezny Globalny
2017-03-24    23:59        9 kB  ALL043.txt        ALLIANZ Europe Equity Growth Select
2017-03-24    23:59        9 kB  ALL044.txt        ALLIANZ Flexi Asia Bond
2017-03-24    23:59        9 kB  ALL045.txt        ALLIANZ PIMCO Global Low Duration Real Return
2017-03-24    23:59        9 kB  ALL046.txt        ALLIANZ US Short Duration High Income Bond
2017-03-24    23:59        9 kB  ALL047.txt        ALLIANZ India Equity
2017-03-24    23:59        9 kB  ALL048.txt        ALLIANZ US Equity   
2017-03-24    23:59        8 kB  ALL049.txt        ALLIANZ PIMCO Income
2017-03-24    23:59        8 kB  ALL050.txt        ALLIANZ PIMCO Emerging Markets Bond
2017-03-24    23:59        8 kB  ALL051.txt        ALLIANZ PIMCO Global Bond
2017-03-24    23:59        8 kB  ALL052.txt        ALLIANZ PIMCO Global High Yield Bond
2017-03-24    23:59        8 kB  ALL053.txt        ALLIANZ PIMCO Global Investment Grade Credit
2017-03-24    23:59        8 kB  ALL054.txt        ALLIANZ PIMCO Emerging Local Bond
